close,datetime,high,low,open,volume
3806.238,2019/5/24 13:39,3809.111,3801.653,3808.169,26130
3802.479,2019/5/24 13:44,3806.398,3797.949,3801.444,46748
3799.931,2019/5/24 13:49,3804.205,3798.731,3799.716,21264
3801.038,2019/5/24 13:54,3803.181,3798.117,3801.862,17966
3803.964,2019/5/24 13:59,3804.914,3801.203,3803.972,11638
3805.793,2019/5/24 14:04,3807.716,3803.24,3806.57,32164
3804.378,2019/5/24 14:09,3806.402,3801.705,3803.602,22272
3803.651,2019/5/24 14:14,3808.126,3803.484,3806.36,25190
3810.015,2019/5/24 14:19,3810.275,3803.384,3808.292,33620
3812.177,2019/5/24 14:24,3813.73,3808.346,3812.788,50832
3808.465,2019/5/24 14:29,3812.175,3804.55,3807.473,32608
3800.31,2019/5/24 14:34,3808.465,3799.533,3803.034,63992
3800.423,2019/5/24 14:39,3800.428,3792.553,3795.859,85836
3804.999,2019/5/24 14:44,3808.688,3799.279,3805.375,64920
3808.04,2019/5/24 14:49,3811.79,3805.161,3806.157,39068
3807.314,2019/5/24 14:54,3809.245,3806.159,3808.469,18856
3817.981,2019/5/24 14:59,3817.982,3807.362,3816.725,116754
3844.661,2019/5/24 21:04,3844.711,3817.786,3836.216,280338
3840.519,2019/5/24 21:09,3845.761,3838.379,3840.474,113974
3845.234,2019/5/24 21:14,3851.084,3840.462,3847.864,122272
3830.519,2019/5/24 21:19,3845.311,3826.918,3831.508,188446
3828.338,2019/5/24 21:24,3833.53,3824.882,3831.26,82158
3834.019,2019/5/24 21:29,3835.228,3829.05,3834.019,39078
3832.732,2019/5/24 21:34,3835.555,3829.534,3834.44,34010
3840.707,2019/5/24 21:39,3840.707,3831.521,3838.184,47254
3834.446,2019/5/24 21:44,3841.839,3832.74,3837.146,50906
3833.56,2019/5/24 21:49,3836.552,3829.873,3830.69,46924
3829.743,2019/5/24 21:54,3834.476,3828.038,3829.969,45148
3833.087,2019/5/24 21:59,3834.896,3828.984,3834.028,26806
3822.706,2019/5/24 22:04,3833.036,3822.534,3829.271,71492
3828.501,2019/5/24 22:09,3829.491,3822.481,3827.441,47196
3829.968,2019/5/24 22:14,3831.082,3826.679,3830.141,21358
3830.738,2019/5/24 22:19,3834.602,3828.042,3829.032,27876
3832.084,2019/5/24 22:24,3832.671,3829.032,3831.907,11832
3830.024,2019/5/24 22:29,3833.671,3829.207,3830.97,12884
3832.905,2019/5/24 22:34,3834.616,3828.897,3831.794,29958
3810.11,2019/5/24 22:39,3834.499,3804.384,3814.351,160890
3810.226,2019/5/24 22:44,3813.918,3796.452,3811.17,142754
3813.459,2019/5/24 22:49,3818.575,3809.459,3811.703,67562
3804.261,2019/5/24 22:54,3814.494,3797.646,3801.345,106000
3802.502,2019/5/24 22:59,3808.951,3802.49,3806.248,64266
3790.449,2019/5/27 9:04,3812.146,3788.445,3797.861,212830
3792.647,2019/5/27 9:09,3798.064,3783.736,3791.976,127572
3789.054,2019/5/27 9:14,3793.859,3785.787,3789.051,70422
3789.747,2019/5/27 9:19,3792.68,3786.776,3788.168,54916
3789.96,2019/5/27 9:24,3790.899,3783.088,3787.164,55784
3793.923,2019/5/27 9:29,3795.093,3787.042,3794.154,51728
3786.059,2019/5/27 9:34,3793.712,3785.062,3786.998,48684
3793.015,2019/5/27 9:39,3794.009,3783.287,3792.893,49684
3794.185,2019/5/27 9:44,3795.127,3790.986,3792.846,28130
3798.367,2019/5/27 9:49,3802.185,3792.256,3796.22,55640
3800.898,2019/5/27 9:54,3802.06,3796.933,3800.301,34412
3800.26,2019/5/27 9:59,3803.011,3798.095,3801.025,32544
3797.043,2019/5/27 10:04,3800.037,3795.3,3795.46,43320
3795.238,2019/5/27 10:09,3801.726,3795.237,3800.686,29212
3793.997,2019/5/27 10:14,3796.864,3791.37,3793.402,35120
3793.272,2019/5/27 10:34,3794.619,3790.527,3793.445,22082
3792.511,2019/5/27 10:39,3794.384,3790.755,3793.673,23988
3788.756,2019/5/27 10:44,3798.182,3786.873,3787.814,54552
3788.54,2019/5/27 10:49,3789.529,3782.339,3786.834,67744
3785.973,2019/5/27 10:54,3788.59,3784.861,3786.023,26570
3786.037,2019/5/27 10:59,3787.8,3784.153,3786.976,27966
3781.123,2019/5/27 11:04,3786.035,3780.302,3781.47,46964
3782.067,2019/5/27 11:09,3784.224,3779.02,3781.123,53866
3787.399,2019/5/27 11:14,3788.563,3781.402,3786.683,54132
3788.349,2019/5/27 11:19,3790.978,3785.474,3790.211,43112
3796.071,2019/5/27 11:24,3797.779,3787.283,3791.275,63882
3780.404,2019/5/27 11:29,3796.943,3780.354,3787.968,69876
3776.743,2019/5/27 13:34,3790.588,3773.221,3773.449,155646
3786.364,2019/5/27 13:39,3788.12,3775.94,3785.968,63826
3787.125,2019/5/27 13:44,3789.656,3784.207,3785.024,41814
3788.074,2019/5/27 13:49,3789.063,3785.082,3789.013,18868
3792.265,2019/5/27 13:54,3795.082,3787.307,3791.987,45256
3792.853,2019/5/27 13:59,3795.78,3787.453,3791.269,41654
3796.109,2019/5/27 14:04,3799.705,3791.324,3793.464,69398
3805.419,2019/5/27 14:09,3805.427,3795.347,3798.819,108658
3791.674,2019/5/27 14:14,3811.887,3787.263,3789.202,170682
3781.544,2019/5/27 14:19,3792.716,3781.369,3785.054,95960
3785.228,2019/5/27 14:24,3786.984,3780.597,3786.812,52486
3788.911,2019/5/27 14:29,3789.951,3784.282,3789.133,31518
3788.759,2019/5/27 14:34,3792.672,3785.882,3790.569,36204
3785.825,2019/5/27 14:39,3789.569,3779.651,3780.377,77546
3780.365,2019/5/27 14:44,3787.038,3777.669,3780.719,66434
3773.148,2019/5/27 14:49,3782.842,3771.119,3775.215,113366
3771.886,2019/5/27 14:54,3777.53,3770.522,3776.284,71484
3770.196,2019/5/27 14:59,3772.94,3765.556,3767.446,155878
3774.159,2019/5/27 21:04,3774.159,3756.547,3771.869,143148
3768.859,2019/5/27 21:09,3774.915,3768.051,3771.433,58974
3780.308,2019/5/27 21:14,3781.077,3768.048,3777.295,89734
3776.464,2019/5/27 21:19,3782.827,3775.709,3777.868,66966
3778.981,2019/5/27 21:24,3778.981,3775.704,3776.821,35286
3776.879,2019/5/27 21:29,3780.789,3776.073,3778.805,32052
3774.838,2019/5/27 21:34,3778.852,3772.962,3773.951,38542
3776.934,2019/5/27 21:39,3778.679,3772.275,3777.689,35248
3774.164,2019/5/27 21:44,3778.803,3770.254,3773.228,43244
3776.668,2019/5/27 21:49,3778.241,3774.172,3776.435,19940
3775.267,2019/5/27 21:54,3778.127,3772.349,3774.33,16214
3772.197,2019/5/27 21:59,3776.617,3771.024,3772.825,18490
3775.697,2019/5/27 22:04,3778.618,3772.017,3775.75,24078
3774.997,2019/5/27 22:09,3777.392,3774.008,3775.753,10792
3777.506,2019/5/27 22:14,3779.432,3773.774,3777.684,22300
3777.559,2019/5/27 22:19,3778.727,3775.932,3777.738,11838
3779.199,2019/5/27 22:24,3781.173,3776.751,3780.141,20982
3773.582,2019/5/27 22:29,3780.944,3771.784,3773.763,30516
3776.392,2019/5/27 22:34,3776.445,3771.837,3774.933,12326
3777.862,2019/5/27 22:39,3778.617,3772.962,3773.954,12196
3778.386,2019/5/27 22:44,3778.617,3775.702,3777.45,11204
3778.456,2019/5/27 22:49,3782.311,3777.269,3780.51,33564
3783.123,2019/5/27 22:54,3785.763,3778.276,3781.953,51798
3783.728,2019/5/27 22:59,3785.532,3780.097,3781.986,43550
3790.223,2019/5/28 9:04,3792.147,3782.439,3790.286,98796
3786.252,2019/5/28 9:09,3790.519,3778.66,3784.454,71220
3781.085,2019/5/28 9:14,3786.146,3779.553,3780.201,37346
3784.696,2019/5/28 9:19,3784.877,3778.844,3782.714,33754
3789.583,2019/5/28 9:24,3794.883,3782.958,3791.667,90868
3794.021,2019/5/28 9:29,3795.061,3786.787,3792.323,49504
3791.858,2019/5/28 9:34,3795.766,3791.28,3792.092,45278
3792.266,2019/5/28 9:39,3796.003,3791.568,3793.203,27482
3787.18,2019/5/28 9:44,3794.02,3785.896,3788.353,45858
3788.804,2019/5/28 9:49,3790.018,3785.494,3786.536,25286
3786.289,2019/5/28 9:54,3791.528,3784.363,3784.599,25276
3788.143,2019/5/28 9:59,3788.143,3783.605,3785.589,19924
3786.639,2019/5/28 10:04,3790.555,3786.586,3786.82,23358
3792.07,2019/5/28 10:09,3792.826,3786.639,3790.506,19694
3791.387,2019/5/28 10:14,3795.697,3790.631,3792.324,25246
3777.89,2019/5/28 10:34,3792.33,3775.964,3781.441,96994
3778.168,2019/5/28 10:39,3782.312,3776.428,3781.242,53552
3775.533,2019/5/28 10:44,3781.194,3774.483,3777.505,54794
